2 5 1
2 5 2
2 5 3
2 5 4
2 5 5
3 2 6
4 3 6
6 2 6
3 2 7
4 3 7
6 2 7
3 2 8
4 3 8
6 2 8
3 2 9
4 3 9
6 2 9
3 2 10
4 3 10
6 2 10
3 2 11
4 3 11
6 2 11
3 2 12
4 3 12
6 2 12
3 2 13
4 3 13
6 2 13
3 2 14
4 3 14
6 2 14
3 2 15
4 3 15
6 2 15
3 2 16
4 3 16
6 2 16
3 2 17
4 3 17
6 2 17
3 2 18
4 3 18
6 2 18
3 2 19
4 3 19
6 2 19
3 2 20
4 3 20
6 2 20
3 2 21
4 3 21
6 2 21
3 2 22
4 3 22
6 2 22
3 2 23
4 3 23
6 2 23
3 2 24
4 3 24
6 2 24
3 2 25
4 3 25
6 2 25
3 2 26
4 3 26
6 2 26
3 2 27
4 3 27
6 2 27
3 2 28
4 3 28
6 2 28
3 2 29
4 3 29
6 2 29
3 2 30
4 3 30
6 2 30
3 2 31
4 3 31
6 2 31
3 2 32
4 3 32
6 2 32
3 2 33
4 3 33
6 2 33
3 2 34
4 3 34
6 2 34
3 2 35
4 3 35
6 2 35
3 2 36
4 3 36
6 2 36
3 2 37
4 3 37
6 2 37
3 2 38
4 3 38
6 2 38
3 2 39
4 3 39
6 2 39
3 2 40
4 3 40
6 2 40
